Field Name,QA Field ID,Type,Duration Required,,,,,,,,,
52-Week High,32007,Stock data,,,,,,,,,,
52-Week Low,32008,Stock data,,,,,,,,,,
"Avg Daily Volume, Qtr",32012,Stock data,,,,,,,,,,
"Avg Daily Volume, Today",32011,Stock data,,,,,,,,,,
Common Shares Outstanding,32010,Stock data,,,,,,,,,,
CUSIP,5793,Stock data,,,,,,,,,,
Earnings / Share (LTM),32015,Stock data,,,,,,,,,,
"Earnings / Share (LTM), Multiple",32016,Stock data,,,,,,,,,,
"Earnings / Share (LTM), Type",32017,Stock data,,,,,,,,,,
Earnings / Share (MRQ),32018,Stock data,,,,,,,,,,
"Earnings / Share (MRQ), Multiple",32019,Stock data,,,,,,,,,,
"Earnings / Share (MRQ), Type",32020,Stock data,,,,,,,,,,
Exchange,32002,Stock data,,,,,,,,,,
Last Date Traded,32004,Stock data,,,,,,,,,,
Market Cap ($MM),32009,Stock data,,,,,,,,,,
Most Recent Dividend ($),32021,Stock data,,,,,,,,,,
Most Recent Dividend Date,32023,Stock data,,,,,,,,,,
"Most Recent Dividend, Yield",32022,Stock data,,,,,,,,,,
Price Change % (Day),32006,Stock data,,,,,,,,,,
SEC Filer?,32024,Stock data,,,,,,,,,,
Stock Price,32003,Stock data,,,,,,,,,,
TBV / Share ($),32013,Stock data,,,,,,,,,,
"TBV / Share, Multiple",32014,Stock data,,,,,,,,,,
Ticker,32001,Stock data,,,,,,,,,,
Topmost Ticker,32027,Stock data,,,,,,,,,,
