Company Name,Type,RSSD ID,City,State,MRQ,Total Assets,Ticker,Common Shares Outstanding,Tangible Common Equity (TBV)
[Do not alter shaded columns]                             QA Field ID,,,,,,,32001,32010,4281
Field Type,,,,,,,,,SEC
Period,,,,,,,,,6/30/25
Duration,,,,,,MRQ,,,
"1st Federal Savings Bank of SC, Inc.",Bank,535575,Walterboro,SC,6/30/2025,"153,390",FSGB,"1,012,755",
"Adirondack Trust Company, The",Bank,645317,Saratoga Springs,NY,6/30/2025,"1,596,813",ADKT,"76,912",
American Business Bank,Bank,2734729,Los Angeles,CA,6/30/2025,"4,298,243",AMBZ,"8,968,494",
BancorpSouth Bank,Bank,606046,Tupelo,MS,6/30/2025,"50,378,840",CADE,"186,307,016",
Bank Of Botetourt,Bank,759625,Buchanan,VA,6/30/2025,"886,260",BORT,"1,966,209",
Bank Of San Francisco,Bank,3357385,San Francisco,CA,6/30/2025,"671,915",BSFO,"2,161,024",
Bank Of Utica,Bank,254317,Utica,NY,6/30/2025,"1,414,087",BKUT,"250,000",
Bank OZK,Bank,107244,Little Rock,AR,6/30/2025,"41,454,390",OZK,"112,640,679",
Beach Cities Commercial Bank,Bank,5805424,Irvine,CA,6/30/2025,"162,492",BCCB,"2,565,864",
Blueharbor Bank,Bank,3636914,Mooresville,NC,6/30/2025,"544,453",BLHK,"2,105,646",
California Business Bank,Bank,3390337,Irvine,CA,6/30/2025,"115,475",CABB,"141,964,862",
"California International Bank, N.A.",Bank,3394380,Westminster,CA,6/30/2025,"74,995",CAIB,"170,453,486",
Cashmere Valley Bank,Bank,574976,Cashmere,WA,6/30/2025,"2,191,528",CSHX,"3,900,683",
Dogwood State Bank,Bank,3047659,Raleigh,NC,6/30/2025,"2,362,741",DSBX,"19,018,000",
Exchange Bank,Bank,507068,Santa Rosa,CA,6/30/2025,"3,270,956",EXSR,"1,714,344",
"Fahey Banking Company, The",Bank,520423,Marion,OH,6/30/2025,"355,558",FAHE,"19,518",
Farmers and Merchants Bank of Long Beach,Bank,871769,Long Beach,CA,6/30/2025,"11,395,539",FMBL,"122,126",
"Farmers Bank Of Appomattox, The",Bank,188720,Appomattox,VA,6/30/2025,"366,137",FBPA,"1,083,660",
First Bank,Bank,3401970,Hamilton,NJ,6/30/2025,"4,019,335",FRBA,"24,905,790",
"First Citizens National Bank Of Upper Sandusky, The",Bank,230423,Upper Sandusky,OH,6/30/2025,"364,755",FSDK,"320,800",
First National Bank Alaska,Bank,114260,Anchorage,AK,6/30/2025,"4,923,803",FBAK,"3,166,885",
"Gateway Bank, F.S.B.",Bank,1493319,Oakland,CA,6/30/2025,"246,185",GWBK,"269,912,602",
HAMLIN BANK AND TRUST COMPANY,Bank,291611,Smethport,PA,6/30/2025,"449,838",HMLN,"357,533",
Harford Bank,Bank,660927,Aberdeen,MD,6/30/2025,"728,414",HFBK,"1,502,831",
Hingham Institution For Savings,Bank,673909,Hingham,MA,6/30/2025,"4,539,257",HIFS,"2,181,250",
Lumbee Guaranty Bank,Bank,651121,Pembroke,NC,6/30/2025,"522,787",LUMB,"3,213,124",
Mechanics Bank,Bank,936462,Walnut Creek,CA,6/30/2025,"16,575,049",MCHB,"64,230",
North Dallas Bank & Trust Co.,Bank,490450,Dallas,TX,6/30/2025,"1,875,281",NODB,"2,569,026",
Northeast Bank,Bank,468806,Lewiston,ME,6/30/2025,"4,279,069",NBN,"8,525,362",
Pacific Alliance Bank,Bank,3546862,San Gabriel,CA,6/30/2025,"428,623",PFBN,"3,230,837",
PARTNERS BANK OF CALIFORNIA,Bank,3655933,Mission Viejo,CA,6/30/2025,"668,889",PBKX,"4,510,457",
Peoples Trust Company Of St. Albans,Bank,463605,Saint Albans,VT,6/30/2025,"376,849",PPAL,"545,626",
Pinnacle Bank,Bank,3455227,Morgan Hill,CA,6/30/2025,"878,109",PBNK,"5,926,716",
Preferred Bank,Bank,1918344,Los Angeles,CA,6/30/2025,"7,279,549",PFBC,"12,420,731",
Primary Bank,Bank,4845861,Bedford,NH,6/30/2025,"724,753",PRMY,"4,722,475",
River City Bank,Bank,253468,Sacramento,CA,6/30/2025,"5,322,651",RCBC,"1,432,204",
Signature Bank Of Georgia,Bank,3390627,Sandy Springs,GA,6/30/2025,"266,001",SGBG,"2,575,731",
Summit State Bank,Bank,561574,Santa Rosa,CA,6/30/2025,"1,032,472",SSBI,"6,771,526",
Town Center Bank,Bank,3459216,Frankfort,IL,6/30/2025,"162,427",TCNB,"2,333,660",
Townebank,Bank,2797724,Portsmouth,VA,6/30/2025,"18,264,614",TOWN,"75,421,737",
Triad Business Bank,Bank,5398627,Greensboro,NC,6/30/2025,"531,327",TBBC,"8,054,528",
"Trinity Bank, National Association",Bank,3185896,Fort Worth,TX,6/30/2025,"527,175",TYBT,"1,087,000",
United National Bank,Bank,2914727,Cairo,GA,6/30/2025,"306,044",UNBK,"804,842",
Woodsboro Bank,Bank,406022,Woodsboro,MD,6/30/2025,"458,505",WOBK,"396,436",
"Zions Bancorporation, National Association",Bank,276579,Salt Lake City,UT,6/30/2025,"88,892,748",ZION,"147,603,000",
Fleetwood Bank Corporation,BHC-SP,1138768,Fleetwood,PA,12/31/2024,"389,729",FLEW,"298,180",
"Farmers And Merchants Bancshares, Inc.",BHC-SP,5041521,Hampstead,MD,12/31/2024,"844,643",FMFG,"3,175,347",
"Pathfinder Bancorp, Inc.",BHC-SP,2596776,Oswego,NY,12/31/2024,"153,842",PBHC,"6,168,000",
Southeastern Banking Corporation,BHC-SP,1082058,Darien,GA,6/30/2025,"609,987",SEBC,"3,179,878",
Peoples Financial Corporation,BHC-SP,1133174,Biloxi,MS,6/30/2025,"761,340",PFBX,"4,617,466",
Hfb Financial Corporation,BHC-SP,3066977,Middlesboro,KY,6/30/2025,"558,924",HFBA,"1,139,398",
"First Ottawa Bancshares, Inc.",BHC-SP,2791816,Ottawa,IL,6/30/2025,"1,848,819",FOTB,"935,874",
Amb Financial Corp.,BHC-SP,3848267,Saint John,IN,6/30/2025,"383,174",AMFC,"888,743",
River Financial Corporation,BHC-Y9C,4422851,Prattville,AL,6/30/2025,"3,687,510",RVRF,"7,755,916",
"Turbotville National Bancorp, Inc.",BHC-SP,1142813,Turbotville,PA,6/30/2025,"213,157",TVNB,"250,000",
"Summit Bancshares, Inc.",BHC-SP,1029295,Oakland,CA,6/30/2025,"286,972",SMAL,"1,164,191",
"Community Bancshares, Inc.",BHC-SP,1070765,Mcarthur,OH,6/30/2025,"1,501,689",CNUN,"1,308,000",
Delhi Bank Corp.,BHC-SP,2263331,Delhi,NY,6/30/2025,"370,087",DWNX,"3,405,661",
Harleysville Financial Corporation,BHC-SP,2861492,Harleysville,PA,6/30/2025,"901,837",HARL,"3,589,883",
Redwood Capital Bancorp,BHC-SP,3552032,Eureka,CA,6/30/2025,"553,056",RWCB,"1,974,071",
F&M Bancorp,BHC-SP,1071155,Miamisburg,OH,6/30/2025,"341,475",FMOO,"337,635",
"Exchange Bankshares, Inc.",BHC-SP,1085862,Milledgeville,GA,6/30/2025,"409,261",EXCH,"596,646",
Southern Financial Corporation,BHC-SP,1141816,Spartanburg,SC,6/30/2025,"350,440",SFCO,"3,383,904",
"Oconomowoc Bancshares, Inc.",BHC-SP,2320618,Oconomowoc,WI,6/30/2025,"2,532,771",OCNB,"335,324",
"Pinnacle Bancshares, Inc.",BHC-SP,2520605,Jasper,AL,6/30/2025,"354,101",PCLB,"898,336",
"Gouverneur Bancorp, Inc.",BHC-SP,2801014,Gouverneur,NY,6/30/2025,"196,719",GOVB,"1,055,671",
"Cornerstone Bancorp, Inc.",BHC-SP,2929383,Palatine,IL,6/30/2025,"1,000,224",CNBP,"983,705",
"Crazy Woman Creek Bancorp, Inc.",BHC-SP,3835100,Buffalo,WY,6/30/2025,"197,298",CRZY,"530,014",
United Tennessee Bankshares,BHC-SP,3842108,Newport,TN,6/30/2025,"274,496",UNTN,"744,694",
"Marine Bancorp Of Florida, Inc.",BHC-SP,5076215,Vero Beach,FL,6/30/2025,"630,179",MBOF,"1,828,263",
"Fifth District Bancorp, Inc.",BHC-SP,5926918,New Orleans,LA,6/30/2025,"535,844",FDSB,"5,559,473",
Central Bank Corporation,BHC-SP,1246805,Sault Sainte Marie,MI,6/30/2025,"459,559",CBSU,"956,267",
"Cnb Financial Services, Inc.",BHC-SP,2909200,Berkeley Springs,WV,6/30/2025,"673,711",CBFC,"389,886",
First Ic Corporation,BHC-SP,3589980,Doraville,GA,6/30/2025,"1,254,597",FIEB,"9,064,733",
"FNB Bancorp, Inc.",BHC-SP,1117491,Newtown,PA,6/30/2025,"1,150,599",FBIP,"662,593",
Qnb Corp.,BHC-Y9C,1118434,Quakertown,PA,6/30/2025,"1,886,463",QNBC,"3,718,573",
Eastern Michigan Financial Corporation,BHC-SP,1129467,Croswell,MI,6/30/2025,"504,539",EFIN,"1,298,401",
Citba Financial Corporation,BHC-SP,1207208,Mooresville,IN,6/30/2025,"663,452",CBAF,"1,626,315",
Citizens Bancshares Corporation,BHC-SP,1357121,Olanta,SC,6/30/2025,"1,062,915",CITZ,"1,951,320",
"Touchmark Bancshares, Inc.",BHC-SP,3645886,Alpharetta,GA,6/30/2025,"426,007",TMAK,"4,475,891",
"Lakeside Bancshares, Inc.",BHC-SP,5166134,Lake Charles,LA,6/30/2025,"377,276",LKSB,"2,098,133",
"Summit Bank Group, Inc.",BHC-SP,5513804,Eugene,OR,6/30/2025,"1,255,097",SBKO,"7,747,030",
"Eclipse Bancorp, Inc.",BHC-SP,5530632,Louisville,KY,6/30/2025,"488,909",ECLP,"3,320,919",
"Apollo Bancorp, Inc.",BHC-SP,1139000,Apollo,PA,6/30/2025,"205,240",APLO,"514,493",
"CIB Marine Bancshares, Inc.",BHC-SP,1139532,Brookfield,WI,6/30/2025,"838,441",CIBH,"1,351,397",
Citizens Financial Corp.,BHC-SP,1142970,Elkins,WV,6/30/2025,"682,467",CIWV,"1,700,658",
Security National Corporation,BHC-SP,1200348,Dakota Dunes,SD,6/30/2025,"1,850,514",SNLC,"1,646,800",
Beo Bancorp,BHC-SP,2615154,Heppner,OR,6/30/2025,"883,757",BEOB,"1,222,088",
"Generations Bancorp Ny, Inc",BHC-SP,2912442,Seneca Falls,NY,6/30/2025,"373,369",GBNY,"2,278,740",
"Finemark Holdings, Inc.",BHC-Y9C,3547159,Fort Myers,FL,6/30/2025,"3,888,350",FNBT,"12,282,063",
"Oregon Bancorp, Inc.",BHC-SP,3823198,Salem,OR,6/30/2025,"459,537",ORBN,"2,495,086",
"Cullman Bancorp, Inc",BHC-SP,4096494,Cullman,AL,6/30/2025,"445,409",CULL,"6,134,098",
"Wcf Bancorp, Inc.",BHC-SP,4974631,Webster City,IA,6/30/2025,"221,976",WCFB,"1,973,423",
"Tc Bancshares, Inc.",BHC-SP,5587421,Thomasville,GA,6/30/2025,"516,047",TCBC,"4,179,481",
