Company Name,Type,RSSD ID,City,State,MRQ,Total Assets,PCO Tangible Common Equity
[Do not alter shaded columns]                             QA Field ID,,,,,,,3270
Field Type,,,,,,,BHC-SP
Period,,,,,,,6/30/25
Duration,,,,,,MRQ,
"Briscoe Ranch, Inc.",BHC-SP,1102451,Uvalde,TX,12/31/2020,"2,105,832",
Mariners Bancorp,BHC-SP,3227947,Edgewater,NJ,6/30/2021,"424,024",
"Virginia Community Capital, Inc.",BHC-SP,3628535,Richmond,VA,6/30/2021,"275,713",
"East Asia Holding Company, Inc.",BHC-SP,3023466,New York,NY,6/30/2022,"102,249",
Delta Investment Company (cayman),BHC-SP,1135468,George Town,XX,6/30/2023,"296,047",
"West Concord Bancshares, Inc.",BHC-SP,1135619,West Concord,MN,6/30/2024,"101,769",
"Bearden Bancshares, Inc.",BHC-SP,2993722,Bearden,AR,12/31/2024,"56,100",
Nave Holdings Inc.,BHC-SP,5686098,San Juan,PR,6/30/2024,"186,949",
"Security Bank Shares, Inc.",BHC-SP,1128497,Iron River,WI,12/31/2024,"342,414",
"First State Bankshares Of Delaware, Inc.",BHC-SP,1842850,Wilmington,DE,12/31/2024,"175,639",
"Golden Oak Bancshares, Inc.",BHC-SP,4281197,Sparta,WI,12/31/2024,"73,625",
"Falcon Bancorporation, Inc.",BHC-SP,1241211,Memphis,TX,12/31/2024,"67,769",
"Bastrop Holdings, Inc.",BHC-SP,2410313,Wilmington,DE,12/31/2024,"998,124",
"Legacy Financial, Inc.",BHC-SP,4442699,Johnson,KS,12/31/2024,"689,801",
Fleetwood Bank Corporation,BHC-SP,1138768,Fleetwood,PA,12/31/2024,"389,729",
"Kleberg And Company Bankers, Inc.",BHC-SP,1104325,Kingsville,TX,12/31/2024,"702,077",
"Wessington Bankshares, Inc.",BHC-SP,1123018,Wessington,SD,12/31/2024,"147,724",
"Eitzen Independents, Inc.",BHC-SP,1127687,Eitzen,MN,12/31/2024,"181,791",
"Northwest Bancorporation Of Illinois, Inc.",BHC-SP,1202986,Palatine,IL,12/31/2024,"206,037",
Young Americans Education Foundation,BHC-SP,1840883,Denver,CO,12/31/2024,"35,946",
"Farmers And Merchants Bancshares, Inc.",BHC-SP,5041521,Hampstead,MD,12/31/2024,"844,643","53,224"
"Griggsville Bancshares, Inc",BHC-SP,2156835,Griggsville,IL,12/31/2024,"155,327",
"Pathfinder Bancorp, Inc.",BHC-SP,2596776,Oswego,NY,12/31/2024,"153,842",
"Steele Bancshares, Inc.",BHC-SP,4136046,Tyler,TX,12/31/2024,"694,103",
"Grasshopper Bancorp, Inc.",BHC-SP,5215715,New York,NY,12/31/2024,"867,110",
Valley Holding Company,BHC-SP,1141580,Ronan,MT,12/31/2024,"184,818",
Commercial Holding Company,BHC-SP,1127182,Wagner,SD,12/31/2024,"249,816",
"Laguna Madre Bancshares, Inc.",BHC-SP,2524210,South Padre Island,TX,12/31/2024,"77,346",
"Laguna Madre Delaware Bancshares, Inc.",BHC-SP,2524229,Dover,DE,12/31/2024,"77,346",
"Selko Banco, Inc.",BHC-SP,1067206,Mead,NE,6/30/2025,"37,082","4,118"
"Eagle Investment Company, Inc.",BHC-SP,2565950,Glenwood,MN,6/30/2025,"218,078","31,409"
Rsnb Bancorp,BHC-SP,2718167,Rock Springs,WY,6/30/2025,"374,880","20,483"
"Delhi Bancshares, Inc.",BHC-SP,1107090,Delhi,LA,6/30/2025,"448,682","38,367"
"Odem Bancshares, Inc.",BHC-SP,2215415,Odem,TX,6/30/2025,"204,278","34,946"
Farmers Bank Holding Company,BHC-SP,3020438,Ault,CO,6/30/2025,"300,213","19,440"
"Wakefield Bancorporation, Inc.",BHC-SP,1128321,Wakefield,MI,6/30/2025,"53,899","4,633"
"Shannon Bancorp, Inc.",BHC-SP,1209985,Shannon,IL,6/30/2025,"188,400","13,136"
"Stark County Bancorp, Inc.",BHC-SP,1245769,Toulon,IL,6/30/2025,"322,755","29,011"
"First National Bancorp Of River Falls, Inc.",BHC-SP,2577159,River Falls,WI,6/30/2025,"320,064","18,467"
"American National Bancorp, Inc.",BHC-SP,2716640,Appleton,WI,6/30/2025,"417,547","44,795"
"Cowboy State Bancorp, Inc.",BHC-SP,2992426,Ranchester,WY,6/30/2025,"51,373","5,948"
"Fsb Bancshares, Inc.",BHC-SP,3371701,Church Point,LA,6/30/2025,"168,869","13,168"
Trimont Bancorporation,BHC-SP,1127306,Trimont,MN,6/30/2025,"88,963","11,369"
"Sunmark Bancshares, Inc.",BHC-SP,1143566,Perry,GA,6/30/2025,"389,438","50,831"
First State Bank Holding Company,BHC-SP,1207114,Lynnville,IA,6/30/2025,"405,390","38,132"
Blissfield Bank Corporation,BHC-SP,1245648,Blissfield,MI,6/30/2025,"114,750","9,330"
"Texas Peoples National Bancshares, Inc.",BHC-SP,1406953,Paris,TX,6/30/2025,"172,304","9,126"
"Victory Bancshares, Inc.",BHC-SP,2266873,Mount Victory,OH,6/30/2025,"21,238","2,149"
"Holland Bancorp, Inc.",BHC-SP,2960359,Holland,NY,6/30/2025,"247,917","17,919"
"Hustisford Community Bancorp., Inc.",BHC-SP,2999854,Hustisford,WI,6/30/2025,"80,389","11,131"
Bancorp Of Montana Holding Company,BHC-SP,3470088,Missoula,MT,6/30/2025,"305,710","31,536"
"Cedar Bancorp, Inc.",BHC-SP,3575264,Mount Vernon,IL,6/30/2025,"259,723","25,736"
Greenfield Bancorp Mhc,BHC-SP,3736690,Greenfield,MA,6/30/2025,"832,295","92,364"
First Kenesaw Company,BHC-SP,1053870,Kenesaw,NE,6/30/2025,"237,311","21,565"
"Community Bancshares, Inc.",BHC-SP,1061624,Neosho,MO,6/30/2025,"433,923","33,166"
Citizens Of Grainger County Corporation,BHC-SP,1085992,Rutledge,TN,6/30/2025,"262,441","25,546"
"Dairy State Bancorp, Inc.",BHC-SP,1126121,Rice Lake,WI,6/30/2025,"721,350","74,360"
"Dysart Bancshares, Inc.",BHC-SP,1130717,Dysart,IA,6/30/2025,"18,534","1,729"
"Louisiana Bancshares, Inc.",BHC-SP,1133400,Ruston,LA,6/30/2025,"449,452","30,929"
"Fmb Of S.C. Bancshares, Inc.",BHC-SP,1137426,Holly Hill,SC,6/30/2025,"410,489","54,252"
Community Grain Co.,BHC-SP,1200478,Carroll,IA,6/30/2025,"280,092","20,154"
"FarmMerc, Inc.",BHC-SP,1249909,Caldwell,OH,6/30/2025,"133,357","19,019"
"Heart Of Georgia Bancshares, Inc.",BHC-SP,2349516,Vidalia,GA,6/30/2025,"216,484","10,905"
"Fjsb Bancshares, Inc.",BHC-SP,2524443,Fort Jennings,OH,6/30/2025,"263,346","31,603"
"Community State Bancshares, Inc.",BHC-SP,2774305,Wichita,KS,6/30/2025,"116,558","8,997"
"Nebraskaland Financial Services, Inc.",BHC-SP,2947350,North Platte,NE,6/30/2025,"949,017","82,668"
"Fsb Holdings, Inc.",BHC-SP,5399576,Fairview,IL,6/30/2025,"37,264","5,166"
"City Bancshares, Inc.",BHC-SP,1023145,Fort Scott,KS,6/30/2025,"54,207","4,261"
"Linden Bancshares, Inc.",BHC-SP,1104071,Linden,TX,6/30/2025,"310,968","14,308"
"Citizens Bancorp, Inc.",BHC-SP,1131460,Crockett,TX,6/30/2025,"93,364","10,893"
"Dmb Corporation, Inc.",BHC-SP,1135628,De Forest,WI,6/30/2025,"815,233","53,301"
"Spring Valley Bancorp, Inc.",BHC-SP,1139596,Spring Valley,IL,6/30/2025,"205,168","25,144"
"Garden Plain Bancshares, Inc.",BHC-SP,1139756,Wichita,KS,6/30/2025,"166,324","24,476"
"Lemont Bancorp, Inc.",BHC-SP,1144059,Lemont,IL,6/30/2025,"50,217","1,587"
"Koss-winn Bancshares, Inc.",BHC-SP,1203723,Buffalo Center,IA,6/30/2025,"352,161","35,465"
Community Bancorp,BHC-SP,1210347,Royal Center,IN,6/30/2025,"170,689","12,485"
"First Malden Bancshares, Inc.",BHC-SP,1491445,Malden,MO,6/30/2025,"214,847","19,118"
"San Diego Bancshares, Inc.",BHC-SP,1832749,San Diego,TX,6/30/2025,"76,521","6,322"
"Community Bancorp Of Louisiana, Inc.",BHC-SP,1977154,Raceland,LA,6/30/2025,"651,948","87,860"
Pilgrim Bancorporation,BHC-SP,2098412,Mount Pleasant,TX,6/30/2025,"720,742","63,034"
"First Community Bancorp, Inc",BHC-SP,2151670,Auburn,KY,6/30/2025,"139,839","9,486"
River Holding Company,BHC-SP,2486813,Stoddard,WI,6/30/2025,"1,011,486","115,538"
Fnb Company,BHC-SP,2504285,Livingston,TX,6/30/2025,"58,400","58,400"
North State Bancorp,BHC-SP,3109070,Raleigh,NC,6/30/2025,"1,382,133","85,670"
"Maple City Savings, Mhc",BHC-SP,3793497,Hornell,NY,6/30/2025,"128,300","8,755"
"Southern Independent Bancshares, Inc.",BHC-SP,4297527,Opp,AL,6/30/2025,"382,506","29,958"
"Premier Bancshares, Inc.",BHC-SP,4458113,Omaha,NE,6/30/2025,"344,109","46,867"
Planters First Bancorp,BHC-SP,1081136,Hawkinsville,GA,6/30/2025,"442,551","31,990"
Southeastern Banking Corporation,BHC-SP,1082058,Darien,GA,6/30/2025,"609,987","80,451"
"Steeleville Bancshares, Inc.",BHC-SP,1099627,Steeleville,IL,6/30/2025,"274,421","30,486"
Frankson Investment Corporation,BHC-SP,1122534,Waseca,MN,6/30/2025,"187,142","12,780"
"Alliance Financial Services, Inc.",BHC-SP,1127146,Saint Paul,MN,6/30/2025,"812,844","80,650"
"Star City Bancshares, Inc.",BHC-SP,1131723,Star City,AR,6/30/2025,"122,811","15,025"
Peoples Financial Corporation,BHC-SP,1133174,Biloxi,MS,6/30/2025,"761,340","96,358"
First American Bancorp,BHC-SP,1138188,Athens,GA,6/30/2025,"912,389","104,859"
"Unisouth, Inc.",BHC-SP,1141601,Umatilla,FL,6/30/2025,"848,621","54,469"
Whitney Corporation Of Iowa,BHC-SP,1200571,Atlantic,IA,6/30/2025,"301,699","41,140"
"Okawville Bancshares, Inc.",BHC-SP,1248377,Okawville,IL,6/30/2025,"83,245","6,117"
"First & Peoples Bancshares, Inc.",BHC-SP,1363935,Russell,KY,6/30/2025,"210,650","13,411"
Morley Bancshares Corporation,BHC-SP,1472060,Belle Plaine,KS,6/30/2025,"191,791","17,466"
"Cleveland State Bancorp, Inc.",BHC-SP,1913684,Cleveland,MS,6/30/2025,"331,524","21,345"
"Citizens Bank Group, Inc.",BHC-SP,1964668,Saint James,MN,6/30/2025,"855,453","51,324"
"First Rushmore Bancorporation, Inc.",BHC-SP,2024381,Worthington,MN,6/30/2025,"391,299","22,265"
First Carroll Bankshares,BHC-SP,2197548,Berryville,AR,6/30/2025,"309,102","44,352"
"Vernon Bancshares, Inc.",BHC-SP,2524685,Wilmington,DE,6/30/2025,"328,968","41,289"
"HSB Bancorp, Inc.",BHC-SP,2876544,Hebron,MD,6/30/2025,"776,556","93,284"
Hfb Financial Corporation,BHC-SP,3066977,Middlesboro,KY,6/30/2025,"558,924","48,925"
Alapaha Holding Company,BHC-SP,3194076,Alapaha,GA,6/30/2025,"238,687","18,049"
"Hillsboro Bancshares, Inc.",BHC-SP,3220274,Hillsboro,TX,6/30/2025,"214,351","13,052"
"United Citizens Bancorp, Inc.",BHC-SP,3370085,Columbia,KY,6/30/2025,"267,314","29,574"
"Waggoner National Bancshares, Inc.",BHC-SP,3386321,Vernon,TX,6/30/2025,"328,968","41,233"
Republic Corporation,BHC-SP,3387298,Omaha,NE,6/30/2025,"207,976","20,503"
"Sigma Holdings, Inc.",BHC-SP,4512378,Rison,AR,6/30/2025,"177,717","14,611"
"Capital Bancshares, Inc",BHC-SP,1022063,Brookfield,MO,6/30/2025,"112,331","11,492"
Jones National Corporation,BHC-SP,1061156,Seward,NE,6/30/2025,"426,840","23,185"
Mccreary Bancshares Inc.,BHC-SP,1071342,Whitley City,KY,6/30/2025,"448,222","48,121"
"Brannen Banks Of Florida, Inc.",BHC-SP,1082375,Inverness,FL,6/30/2025,"990,946","29,378"
"Hardin County Bancshares, Inc.",BHC-SP,1097838,Savannah,TN,6/30/2025,"635,609","56,536"
"Rich Land Bancorp, Inc.",BHC-SP,1098161,Olney,IL,6/30/2025,"596,274","47,360"
Citizens State Financial Corporation,BHC-SP,1105818,Corrigan,TX,6/30/2025,"187,409","19,000"
"Citizens Bancshares Of Woodville, Inc.",BHC-SP,1129065,Hudson,WI,6/30/2025,"462,489","26,474"
First Fontanelle Bancorporation,BHC-SP,1131778,Fontanelle,IA,6/30/2025,"271,033","39,927"
Fm Fincorp,BHC-SP,1135196,Laotto,IN,6/30/2025,"296,624","22,320"
"Kennett Bancshares, Inc.",BHC-SP,1136308,Kennett,MO,6/30/2025,"132,039","12,589"
First National Bank Corp.,BHC-SP,1137529,Cloverdale,IN,6/30/2025,"423,636","29,211"
"Todd Bancshares, Inc.",BHC-SP,1140574,Hopkinsville,KY,6/30/2025,"349,904","37,938"
"Whitewater Bancorp., Inc.",BHC-SP,1203536,Whitewater,WI,6/30/2025,"499,378","93,898"
"S & H Holdings, Inc.",BHC-SP,1205062,Iroquois,IL,6/30/2025,"167,991","13,068"
"Orion Bancorporation, Inc.",BHC-SP,1210048,Orion,IL,6/30/2025,"672,495","55,685"
"Ambanc Financial Services, Inc.",BHC-SP,1210682,Beaver Dam,WI,6/30/2025,"197,218","18,002"
"Warrior Bank Corporation, Inc.",BHC-SP,1249749,Hennessey,OK,6/30/2025,"85,810","6,625"
"Mason City Bancorp, Inc.",BHC-SP,1399019,Mason City,IL,6/30/2025,"75,101","10,277"
Colwich Financial Corporation,BHC-SP,1416448,Wichita,KS,6/30/2025,"819,752","68,061"
First Bancshares Corporation,BHC-SP,1978414,Gladstone,MI,6/30/2025,"619,091","78,566"
"Albany Bancorp, Inc.",BHC-SP,2022444,Albany,KY,6/30/2025,"656,492","75,356"
