Company Name,Type,RSSD ID,City,State,MRQ,Total Assets,Tangible Common Equity
[Do not alter shaded columns]                             QA Field ID,,,,,,,3504
Field Type,,,,,,,BHC-Y9C
Period,,,,,,,6/30/25
Duration,,,,,,MRQ,
Hy-vee Inc.,BHC-Y9C,1200852,West Des Moines,IA,9/30/2019,"3,724,635",
"Morgan Stanley Domestic Holdings, Inc.",BHC-Y9C,3820272,New York,NY,6/30/2023,,
MUFG Americas Holdings Corporation,BHC-Y9C,1378434,New York,NY,9/30/2023,"44,871,906",
"Social Finance, Llc",BHC-Y9C,5300273,San Francisco,CA,6/30/2024,,
River Financial Corporation,BHC-Y9C,4422851,Prattville,AL,6/30/2025,"3,687,510","230,745"
"Northern Bancorp, Inc.",BHC-Y9C,1246935,Woburn,MA,6/30/2025,"3,228,908","460,645"
Reisher Family Foundation,BHC-Y9C,5533585,Lakewood,CO,6/30/2025,,
"Ifs 1820 Bancorp, Mhc",BHC-Y9C,5806739,Newburyport,MA,6/30/2025,"5,367,683","626,034"
New Hampshire Mutual Bancorp,BHC-Y9C,4436559,Concord,NH,6/30/2025,"3,755,034","307,097"
Firstbank Holding Company,BHC-Y9C,1060627,Lakewood,CO,6/30/2025,"26,840,552","1,725,865"
Qnb Corp.,BHC-Y9C,1118434,Quakertown,PA,6/30/2025,"1,886,463","113,269"
Frandsen Financial Corporation,BHC-Y9C,1128358,Arden Hills,MN,6/30/2025,"3,566,616","237,964"
"Finemark Holdings, Inc.",BHC-Y9C,3547159,Fort Myers,FL,6/30/2025,"3,888,350","343,166"
"Midwest Independent Bancshares, Inc.",BHC-Y9C,1142309,Jefferson City,MO,6/30/2025,"398,516","57,581"
"Hbt Financial, Inc.",BHC-Y9C,1208120,Bloomington,IL,6/30/2025,"5,018,398","504,623"
"West Bancorporation, Inc.",BHC-Y9C,1210066,West Des Moines,IA,6/30/2025,"4,056,669","240,930"
"Guaranty Bancshares, Inc.",BHC-Y9C,1862036,Mount Pleasant,TX,6/30/2025,"3,144,155","298,238"
"Verabank, Inc.",BHC-Y9C,1917600,Henderson,TX,6/30/2025,"4,312,346","357,375"
"First Bancorp, Inc.",BHC-Y9C,1988646,Lebanon,VA,6/30/2025,"4,010,994","374,961"
"Peoples Bancorp Of North Carolina, Inc.",BHC-Y9C,2818245,Newton,NC,6/30/2025,"1,693,845","144,005"
"Foresight Financial Group, Inc.",BHC-Y9C,1137453,Winnebago,IL,6/30/2025,"1,611,014","159,819"
"Inwood Bancshares, Inc.",BHC-Y9C,1134498,Dallas,TX,6/30/2025,"4,238,318","390,486"
"Farmers & Merchants Bancorp, Inc.",BHC-Y9C,1134630,Archbold,OH,6/30/2025,"3,345,763","259,555"
"Great Southern Bancorp, Inc.",BHC-Y9C,2339133,Springfield,MO,6/30/2025,"5,858,635","612,491"
"Inwood Delaware, Inc.",BHC-Y9C,2341743,Wilmington,DE,6/30/2025,,
"South Central Bancshares Of Kentucky, Inc.",BHC-Y9C,2810285,Glasgow,KY,6/30/2025,"2,031,817","182,636"
"Pinnacle Financial Partners, Inc.",BHC-Y9C,2925657,Nashville,TN,6/30/2025,"54,801,451","4,551,701"
"Athens, Tx Bancshares, Inc.",BHC-Y9C,4500281,Athens,TX,6/30/2025,,
"Watford City Bancshares, Inc.",BHC-Y9C,1135048,Watford City,ND,6/30/2025,"5,497,051","390,262"
"Parkway Bancorp, Inc.",BHC-Y9C,1200692,Harwood Heights,IL,6/30/2025,"3,550,959","362,800"
"Midwestone Financial Group, Inc.",BHC-Y9C,1245228,Iowa City,IA,6/30/2025,"6,160,773","496,893"
Dickinson Financial Corporation,BHC-Y9C,1399484,Kansas City,MO,6/30/2025,,
Dickinson Financial Corporation Ii,BHC-Y9C,2107707,Kansas City,MO,6/30/2025,"4,428,285","520,451"
"Olney Bancshares Of Texas, Inc.",BHC-Y9C,2233950,Olney,TX,6/30/2025,"5,009,810","434,540"
"Washington Federal, Inc.",BHC-Y9C,3065617,Seattle,WA,6/30/2025,"26,731,915","2,270,034"
"Business First Bancshares, Inc.",BHC-Y9C,3488850,Baton Rouge,LA,6/30/2025,"7,955,831","639,589"
