Company Name,Type,RSSD ID,City,State,MRQ,Total Assets,HTM Securities: Cost,HTM Securities: FMV,HTM Securities: Cost,HTM Securities: FMV,AFS Securities: Cost,AFS Securities: FMV,AFS Securities: Cost,AFS Securities: FMV,Tangible Common Equity,Goodwill,Other Intangibles,Municipals,,,,,,,,,,,,,,,,,,,,,,
[Do not alter shaded columns]                             QA Field ID,,,,,,,2916,2917,2916,2917,2897,2898,2897,2898,1790,6,1825,2921,,,,,,,,,,,,,,,,,,,,,,
Field Type,,,,,,,Bank,Bank,Bank,Bank,Bank,Bank,Bank,Bank,Bank,Bank,Bank,Bank,,,,,,,,,,,,,,,,,,,,,,
Period,,,,,,,3/31/25,3/31/25,12/31/24,12/31/24,3/31/25,3/31/25,12/31/24,12/31/24,3/31/25,3/31/25,3/31/25,3/31/25,,,,,,,,,,,,,,,,,,,,,,
Duration,,,,,,MRQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1nb Bank,Bank,614948,Carlyle,IL,3/31/2025,"293,354",0,0,0,0,"105,854","99,182","114,512","106,608","24,886",167,0,"32,592",,167,,,,,,,,,,,,,,,,,,,,
1st Advantage Bank,Bank,3317192,Saint Peters,MO,3/31/2025,"182,343",0,0,0,0,"1,388","1,342","1,417","1,321","18,566",0,0,0,,0,,,,,,,,,,,,,,,,,,,,
1st Bank In Hominy,Bank,350657,Hominy,OK,3/31/2025,"42,577",0,0,0,0,"22,284","21,248","21,888","20,503","2,725",0,0,"5,546",,0,,,,,,,,,,,,,,,,,,,,
1st Bank Of Sea Isle City,Bank,148470,Sea Isle City,NJ,3/31/2025,"310,633","29,367","27,307","31,839","29,505",0,0,0,0,"29,284",0,0,"9,729",,0,,,,,,,,,,,,,,,,,,,,
1st Bank Yuma,Bank,3048487,Yuma,AZ,3/31/2025,"619,270",0,0,0,0,"150,248","133,755","176,116","157,269","54,923","2,855",0,"26,852",,2855,,,,,,,,,,,,,,,,,,,,
1st Colonial Community Bank,Bank,2920773,Collingswood,NJ,3/31/2025,"867,569","63,465","63,465","45,036","45,036","97,990","94,549","77,891","73,614","87,868",0,0,"62,965",,0,,,,,,,,,,,,,,,,,,,,
1st Community Bank,Bank,338945,Sherrard,IL,3/31/2025,"67,162",0,0,0,0,"2,475","2,407","2,972","2,889","6,813",0,0,0,,0,,,,,,,,,,,,,,,,,,,,
1st Equity Bank,Bank,2531562,Skokie,IL,3/31/2025,"122,102",0,0,0,0,105,105,107,107,"19,785",951,45,0,,996,,,,,,,,,,,,,,,,,,,,
"1st Federal Savings Bank of SC, Inc.",Bank,535575,Walterboro,SC,3/31/2025,"152,704",0,0,0,0,"17,824","16,597","16,112","15,232","12,276",0,0,"1,570",,0,,,,,,,,,,,,,,,,,,,,
1st Financial Bank Usa,Bank,526452,Dakota Dunes,SD,3/31/2025,"1,344,372","60,455","60,445","60,350","60,296","49,486","49,613","49,240","49,412","222,476",557,650,158,,1207,,,,,,,,,,,,,,,,,,,,
1st National Bank,Bank,480723,Lebanon,OH,3/31/2025,"276,453","19,786","18,391","20,619","19,061","10,489","8,522","10,507","8,811","20,707",0,0,"13,699",,0,,,,,,,,,,,,,,,,,,,,
1st Security Bank Of Washington,Bank,1018927,Mountlake Terrace,WA,3/31/2025,"3,066,005","10,500","10,258","8,500","8,144","313,637","291,133","305,973","281,175","325,994","3,592","12,879","70,121",,16471,,,,,,,,,,,,,,,,,,,,
1st Source Bank,Bank,991340,South Bend,IN,3/31/2025,"8,959,893",0,0,0,0,"1,591,072","1,501,877","1,650,684","1,536,299","1,087,537","83,196",0,"88,361",,83196,,,,,,,,,,,,,,,,,,,,
