,,,,,,,,,,,,,,,,,,,,TCE,,,,,Un. Loss - T,,Un. Loss - T-1,,,,TCE Adj.,,TCE Adj.,,,Aggregate,,,6.0%,,Ticker,Per Share,,,,,HTM Securities: Cost,,,,,,,,,,,,,,,HTM Securities: FMV,,,,,,,,,,,,,,,HTM Securities: Cost,,,,,,,,,,,,,,,HTM Securities: FMV,,,,,,,,,,,,,,,AFS Securities: Cost,,,,,,,,,,,,,,,AFS Securities: FMV,,,,,,,,,,,,,,,AFS Securities: Cost,,,,,,,,,,,,,,,AFS Securities: FMV,,,,,,,,,,,,,,,Tangible Common Equity,,,,,,,,,,,,,,,Intangibles,,,,,,,,,,,,,,,Municipals,,,,,,,,,,,,,,
Ticker,BHC,Bank 1,Bank 2,Bank 3,Bank 4,Bank 5,Bank 6,Bank 7,Bank 8,Bank 9,Bank 10,Bank 11,Bank 12,Bank 13,Bank 14,Bank 15,,Large?,,GAAP,Large,Small,Bank,Bank Intang.,AFS,HTM,AFS,HTM,S/O,SP?,Non-SP,SP,Non-SP,SP,,TCE,Adj. TCE,Mark. TCE,,,,TCE,Adj. TCE,Mark. TCE,Kanter Adj. TCE,,T,,,,,,,,,,,,,,,T,,,,,,,,,,,,,,,T-1,,,,,,,,,,,,,,,T-1,,,,,,,,,,,,,,,T,,,,,,,,,,,,,,,T,,,,,,,,,,,,,,,T-1,,,,,,,,,,,,,,,T-1,,,,,,,,,,,,,,,T,,,,,,,,,,,,,,,T,,,,,,,,,,,,,,,T,,,,,,,,,,,,,,
ABBB,3792409,229173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,NA,NA,"4,809","6,164",0,"-1,832",0,"-2,053",0,"503,284",1,"1,832","2,053",0,-221,,"4,809","6,862","4,588","6,862",,ABBB,9.56,13.63,9.12,13.63,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"15,471",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"13,029",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"15,775",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"13,038",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6,164",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCB,1082067,764030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,,NA,"2,836,664",NA,"2,881,209","1,018,404","-12,020","-14,174","-27,702","-15,487","68,711,043",0,"12,020","27,702","-14,174","-31,169",,"2,836,664","2,848,684","2,822,491","2,845,183",,ABCB,41.28,41.46,41.08,41.41,,"173,757",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"154,859",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"164,677",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"144,028",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,958,038",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,942,011",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,707,196",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,670,260",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,881,209",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,018,404",0,0,0,0,0,0,0,0,0,0,0,0,0,0,58360,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FCNCA,1075612,491224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,,NA,"20,847,000",NA,"21,456,000","540,000","-330,000","-1,012,500","-570,750","-1,152,750","13,075,979",0,"330,000","570,750","-1,012,500","-1,393,500",,"20,847,000","21,177,000","19,834,500","21,175,980",,FCNCA,"1,594.30","1,619.53","1,516.87","1,619.46",,"10,322,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8,972,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10,237,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8,700,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"34,340,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"33,900,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"34,512,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"33,751,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"21,456,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"540,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,17000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACNB,1117464,5210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,,NA,"306,008",NA,"295,480","75,399","-29,780","-6,251","-35,747","-5,741","10,478,149",0,"29,780","35,747","-6,251","-11,708",,"306,008","335,788","299,757","332,008",,ACNB,29.20,32.05,28.61,31.69,,"64,554",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"56,219",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"64,578",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"56,924",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"495,525",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"455,819",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"441,638",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"393,975",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"295,480",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"75,399",0,0,0,0,0,0,0,0,0,0,0,0,0,0,62985,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADKT,0,645317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,NA,NA,NA,"152,099","20,417","-18,295",0,"-22,816",0,"76,912",0,"18,295","22,816",0,"-4,521",,"152,099","170,394","152,099","169,502",,ADKT,"1,977.57","2,215.44","1,977.57","2,203.85",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"417,590",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"393,197",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"443,204",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"412,783",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"152,099",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"20,417",0,0,0,0,0,0,0,0,0,0,0,0,0,0,14857,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFBI,5535301,321273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,NA,NA,"105,973","88,834","18,127","-5,099",92,"-5,735",-44,"6,295,339",1,"5,099","5,735",92,-680,,"105,973","111,708","105,293","111,580",,AFBI,16.83,17.74,16.73,17.72,,"27,383",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"27,505",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"27,344",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"27,285",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"47,777",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"40,978",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"44,148",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"36,501",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"88,834",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"18,127",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2136,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALBY,2775142,2775151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,NA,NA,"30,979","29,901",0,-113,0,-233,0,"1,297,720",1,113,233,0,-119,,"30,979","31,212","30,860","31,212",,ALBY,23.87,24.05,23.78,24.05,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"24,121",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"23,970",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"23,401",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"23,091",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"29,901",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALLY,1562859,3284070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,,NA,"12,033,000",NA,"14,279,000","127,000","-2,286,000","2,250","-2,882,250","-39,000","307,787,000",0,"2,286,000","2,882,250","2,250","-635,250",,"12,033,000","14,319,000","12,035,250","14,303,760",,ALLY,39.10,46.52,39.10,46.47,,"4,668,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,671,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,346,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,294,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"21,307,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"18,259,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"22,306,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"18,463,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"14,279,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"127,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,254000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALPIB,1061679,260055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,,NA,"526,670",NA,"597,846","17,631","-51,017","-65,514","-61,875","-60,809","16,023,218",0,"51,017","61,875","-65,514","-71,668",,"526,670","577,687","461,156","520,999",,ALPIB,32.87,36.05,28.78,32.52,,"1,111,905",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,024,553",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,129,963",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,048,884",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"803,219",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"735,197",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"807,304",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"724,804",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"597,846",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"17,631",0,0,0,0,0,0,0,0,0,0,0,0,0,0,944786,0,0,0,0,0,0,0,0,0,0,0,0,0,0
